,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
685,anupsjaiswal,indie_electric,"Can they really afford being confused in pandemic times for a city like Mumbai, even after 100+ days? Need clear communication on lockdown &amp; allowed movement with what-all permissions from specific authorities but there are none. Where is our CM from last many days?",1,3,2,1277676101456678912,https://twitter.com/anupsjaiswal/status/1277676101456678912,576967108,2020-06-29 18:51:35+00:00,Mon Jun 29 18:51:35 +0000 2020,,,,
686,Ramggoel,BloombergQuint,"Banning is not enough their addresses shud be blocked so that these get automatically inaccessible. Similar way, Chinese goods shud be banned. We are making Chinese purses fat. These purses are used against us only. We have faced lockdown we can face the challenge of shortages. ",0,0,0,1277676091390300160,https://twitter.com/Ramggoel/status/1277676091390300160,744165948593045506,2020-06-29 18:51:32+00:00,Mon Jun 29 18:51:32 +0000 2020,,,,https://twitter.com/BloombergQuint/status/1277673051685974016
687,Adeola58730331,,Coronavirus please go so lockdown can go I'm really missing going to the safari desert... ,0,0,0,1277676080023953410,https://twitter.com/Adeola58730331/status/1277676080023953410,1269361512130514945,2020-06-29 18:51:30+00:00,Mon Jun 29 18:51:30 +0000 2020,,,,
688,Yours_LOKI,,Another day and another 700+ new cases. It's high time to impose lockdown again in the city to contain COVID-19 spread.. at least for few days(a week) @CMofKarnataka https://twitter.com/Yours_LOKI/status/1277307340941701120,0,0,0,1277676014575816704,https://twitter.com/Yours_LOKI/status/1277676014575816704,499592989,2020-06-29 18:51:14+00:00,Mon Jun 29 18:51:14 +0000 2020,,@CMofKarnataka,,https://twitter.com/Yours_LOKI/status/1277307340941701120
689,shashank_mehta7,,"Guys , ICMR-JRF exam scheduled to be held on 12th of July has been postponed citing the reasons of lockdown been extended in several states ... So there are much chances that #NEET and #JEEMains exams will also be postponed .... #WakeupHRDpostponeNEETjee",23,11,0,1277676005759557638,https://twitter.com/shashank_mehta7/status/1277676005759557638,830512018645991426,2020-06-29 18:51:12+00:00,Mon Jun 29 18:51:12 +0000 2020,#NEET #JEEMains #WakeupHRDpostponeNEETjee,,,
690,manojbTOI,,"Chaos in Thane: Lockdown announced, then deferred:- Thane corporation announced and later deferred crucial decision to enforce lockdown in city, said it will decide on its implementation Tuesday after a fresh round of talks with stakeholders, including the police",3,7,0,1277675888335872001,https://twitter.com/manojbTOI/status/1277675888335872001,2926364544,2020-06-29 18:50:44+00:00,Mon Jun 29 18:50:44 +0000 2020,,,,
691,techworld_news,,Covid-19 news: Leicester faces prolonged lockdown after local outbreak ,0,0,0,1277675882602205192,https://twitter.com/techworld_news/status/1277675882602205192,1107374728660934656,2020-06-29 18:50:43+00:00,Mon Jun 29 18:50:43 +0000 2020,,,,https://thetechworld.website/2020/06/29/covid-19-news-leicester-faces-prolonged-lockdown-after-local-outbreak/
692,in_dinx,,“Triple Lockdown” In Parts Of Kerala District Reporting 47 Cases In A Day http://dinowap.in/triple-lockdown-in-parts-of-kerala-district-reporting-47-cases-in-a-day/,0,0,0,1277675878428880896,https://twitter.com/in_dinx/status/1277675878428880896,1061298730391891968,2020-06-29 18:50:42+00:00,Mon Jun 29 18:50:42 +0000 2020,,,,http://dinowap.in/triple-lockdown-in-parts-of-kerala-district-reporting-47-cases-in-a-day/
693,subhashalawa2,,"Auto exports tumble 73% on lockdown, delayed orders ",0,0,0,1277675778646343680,https://twitter.com/subhashalawa2/status/1277675778646343680,1670328174,2020-06-29 18:50:18+00:00,Mon Jun 29 18:50:18 +0000 2020,,,,https://inspiretoday.in/auto-exports-tumble-73-on-lockdown-delayed-orders/
694,godbole17,TheTanishaGupta,I dont understand...lockdown is still valid ...who is suffering?,0,0,0,1277675606390472707,https://twitter.com/godbole17/status/1277675606390472707,2278747880,2020-06-29 18:49:37+00:00,Mon Jun 29 18:49:37 +0000 2020,,,,
695,shoukathkhan10,,My suggestion lockdown is not a solution to control #COVID19 govt should be lockdown super markets shop mall specially D.Mart wines shops &amp; restaurants must be closed #Telanganafightcorona @MoHFW_INDIA @Eatala_Rajender @arvindkumar_ias @TelanganaCMO @KTRoffice @TelanganaDGP @ANI,0,5,0,1277675501436329984,https://twitter.com/shoukathkhan10/status/1277675501436329984,3607911314,2020-06-29 18:49:12+00:00,Mon Jun 29 18:49:12 +0000 2020,#COVID19 #Telanganafightcorona,@MoHFW_INDIA @Eatala_Rajender @arvindkumar_ias @TelanganaCMO @KTRoffice @TelanganaDGP @ANI,,
